series,class,d_mm,P_mm,d2_mm,As_mm2,Dk_mm,Lk_mm,Eb_MPa,Ec_MPa,muG,muK,MA_Nm,FA_N,deltaZ_mm,deltaS_mm_per_N,deltaP_mm_per_N,Phi,F_proof_N,FM_target_N,FM_N,k_vdi,k_meas,delta_k,Fb_max_N,Fk_residual_N,sigma_b_MPa,SF_yield,SF_ult,pass_fail,fail_reason
M12,10.9,12.0,1.75,10.863,84.3,28.229400046338466,20.15901430416124,207361.92723582557,204743.99754145037,0.10415184911417982,0.12750169204826248,141.28817407322606,20023.52800936239,0.014537632575303484,2.8771311251401256e-06,2.1373394815281898e-07,0.06915020328762239,79242.0,55469.399999999994,55469.399999999994,0.7,0.7,0.0,56854.0310323828,32127.084326126154,674.4250419025244,1.3937797999734707,1.542054246779159,1,ok
M20,12.9,20.0,2.5,18.376,245.0,44.1603985819716,62.31415260525399,206163.089960675,203257.30775573166,0.17057442355649788,0.14183092081831702,854.9850514431794,36878.47710748093,0.010524570223344408,1.9907737860940783e-06,2.8308314378214645e-07,0.12449470327825587,269500.0,188650.0,188650.0,0.7,0.7,0.0,193241.17506484978,151734.18765618763,788.7394900606114,1.3946303105927529,1.5467717990210532,1,ok
M12,10.9,12.0,1.75,10.863,84.3,18.744054942390882,52.82772582965066,205256.92365181562,209060.7193548759,0.1567038200331687,0.08920706020775404,84.35254443988539,9411.22439723508,0.005463224931954537,2.3004061424310344e-06,2.869813981817343e-06,0.5550661118581567,79242.0,55469.399999999994,55469.399999999994,0.7,0.7,0.0,60693.251733997895,50225.3557056398,719.967398979809,1.3056146727365383,1.4445098506872338,1,ok
M24,10.9,24.0,3.0,22.051,353.0,51.957817701844434,69.16830808818703,207536.5583979496,203105.48501819468,0.05887733427090472,0.07843683010474384,708.1869964188597,84888.72972822802,0.009946918281154342,1.8024542581103027e-06,2.231785980799343e-07,0.11017722061424468,331820.0,232273.99999999997,232273.99999999997,0.7,0.7,0.0,241626.80430292993,151827.55080887876,684.4951963255805,1.3732747943973713,1.5193678576311342,1,ok
M12,12.9,12.0,1.75,10.863,84.3,29.756801590582146,62.33776211336626,208161.74733966982,203825.37513960604,0.13150659749857876,0.05652612165682469,96.24168050297166,9725.549418630084,0.011225067406665857,1.4109289507012119e-06,5.884407310323698e-07,0.29431312098428636,92730.0,64910.99999999999,64910.99999999999,0.7,0.7,0.0,67773.35680268392,52433.50428182164,803.9544104707464,1.3682367876505677,1.5174989826669931,1,ok
M10,12.9,10.0,1.5,9.026,58.0,22.422012342682926,31.478606377167107,200135.84471916134,206765.69394919963,0.1758629244961138,0.0733686618569218,64.61627544130363,9982.309685021843,0.011453360063370985,1.8587614699367024e-06,5.378881839040127e-07,0.22443338059112147,63800.0,44660.0,44660.0,0.7,0.7,0.0,46900.363508716946,32139.14922033909,808.6269570468439,1.3603306078457593,1.5087303105198422,1,ok
M20,12.9,20.0,2.5,18.376,245.0,41.587933736020155,57.027710140756355,209683.47962089552,201019.90980547693,0.12601231705761878,0.0961854066983354,582.6402574265118,70289.60096268432,0.013915409134088947,1.3141238065013912e-06,3.193920004776063e-07,0.19552427905077063,269500.0,188650.0,188650.0,0.7,0.7,0.0,202393.3235529952,123585.0360403326,826.0951981754906,1.3315656626856736,1.4768273713422926,1,ok
M20,12.9,20.0,2.5,18.376,245.0,30.97277033548643,46.46725675546166,208056.0648222148,201119.31114300704,0.15149442098268476,0.1552473744508995,685.2147438306386,20374.577390263465,0.003910486924462668,2.322060454314704e-06,7.531232842151298e-07,0.24490350764379973,269500.0,188650.0,188650.0,0.7,0.7,0.0,193639.80546963558,171993.60099723484,790.3665529372881,1.3917592994187342,1.5435875866280506,1,ok
M24,8.8,24.0,3.0,22.051,353.0,40.31000511080158,74.86863916432503,201877.55272761395,206489.02931616709,0.13545667987625917,0.16279671509709817,753.0078417232517,42376.3456173168,0.01165431281811051,1.3850741395934404e-06,5.568862755659856e-07,0.28676499851325127,225920.0,158144.0,158144.0,0.7,0.7,0.0,170296.05268794688,121918.39379609881,482.42507843611014,1.3266308668585485,1.6582885835731855,1,ok
M24,12.9,24.0,3.0,22.051,353.0,43.44698434040673,46.33162618148734,202365.62452560465,201619.66365217092,0.18036589505258077,0.10753651231231323,1039.3101450302613,55529.710708424616,0.014955270686257982,1.7624020389709507e-06,2.498632128981636e-07,0.12417011756580076,388300.0,271810.0,271810.0,0.7,0.7,0.0,278705.13070706,215743.36268294769,789.5329481786401,1.3932287468655626,1.545217337432715,1,ok
M8,10.9,8.0,1.25,7.188,36.6,12.132896673052402,43.53275868982412,209758.9443159545,206440.90542738113,0.16517719001945566,0.13974826530783452,33.049558418139156,6449.484145624343,0.019406693157269225,3.6595553610879278e-06,4.17648666938823e-06,0.5329842097764305,34404.0,24082.8,24082.8,0.7,0.7,0.0,27520.273210821208,18594.195259064614,751.9200330825466,1.2501329378689472,1.3831258035996863,1,ok
M16,12.9,16.0,2.0,14.701,157.0,26.375954804363932,40.9793526107688,209904.69682954755,202559.92461982378,0.16341592514314407,0.06870846533389385,212.01640894974167,40915.92449746825,0.01364601456962779,2.264852032793186e-06,9.278685848965711e-07,0.2906200372671424,172700.0,120889.99999999999,120889.99999999999,0.7,0.7,0.0,132780.98750227378,87590.96069406153,845.7387738998331,1.3006380148893126,1.442525798331783,1,ok
M10,12.9,10.0,1.5,9.026,58.0,24.01122053488666,35.53264044006065,200776.90163662532,209497.50764304376,0.12125014003883879,0.14853679747802312,110.86558737951881,5368.820301061878,0.007211691525799361,2.969655926338163e-06,4.7597667677238734e-07,0.1381391261339641,63800.0,44660.0,44660.0,0.7,0.7,0.0,45401.644144758975,37939.82892622127,782.7869680130858,1.405235453513083,1.5585338666236013,1,ok
M10,10.9,10.0,1.5,9.026,58.0,15.072259952526515,75.20431850232194,201104.7680397998,201444.73392204847,0.1421522259771792,0.1390239378353454,63.32773234236768,8463.6352927436,0.010250888520800796,4.210001550811762e-06,4.768077320812746e-06,0.5310799101890717,54520.0,38164.0,38164.0,0.7,0.7,0.0,42658.86667114333,33053.46278097751,735.4977012266091,1.2780461426763632,1.4140084982802315,1,ok
M10,8.8,10.0,1.5,9.026,58.0,21.997276311814446,45.66355430502199,209908.87768414983,202024.2743685079,0.12409539711697873,0.18892909694465174,73.49269975773207,1941.6569809135879,0.009601483742147022,3.2801094066326495e-06,8.194729170218398e-07,0.1998918066100298,37120.0,25984.0,25984.0,0.7,0.7,0.0,26372.121321731793,22088.400446468117,454.69174692641025,1.4075469905187898,1.7594337381484875,1,ok
M20,12.9,20.0,2.5,18.376,245.0,35.65166932801048,21.9423458076638,204073.3372510373,206931.72192043788,0.15049700234156346,0.14460328394298877,722.6190583058614,6591.998234454468,0.009672518087292883,1.047412483566225e-06,1.7296081558557275e-07,0.14172779403301153,269500.0,188650.0,188650.0,0.7,0.7,0.0,189584.26936803875,175066.40279967722,773.8133443593418,1.421531442974424,1.5766076003898155,1,ok
M20,12.9,20.0,2.5,18.376,245.0,47.09439362738695,50.0132265319847,207860.50155486647,205442.19047789587,0.11572396135872551,0.08005363514446241,551.759598860738,69851.10027819141,0.009285461835587625,1.5530956962058585e-06,1.8610047982401871e-07,0.10700373102753517,269500.0,188650.0,188650.0,0.7,0.7,0.0,196124.328346145,120934.28933087339,800.5074626373265,1.3741283515034013,1.5240332625764994,1,ok
M10,8.8,10.0,1.5,9.026,58.0,16.57623876160487,75.79245916453675,209359.19926184532,209129.52685351993,0.1362680152667801,0.08163600908829073,31.710656865296897,8204.996603347261,0.004268533227114194,4.23569401484245e-06,3.986695861126573e-06,0.48485852912158756,37120.0,25984.0,25984.0,0.7,0.7,0.0,29962.262584546574,21238.130633508063,516.5907342163202,1.2388917524254368,1.548614690531796,1,ok
M12,8.8,12.0,1.75,10.863,84.3,26.46026162957603,36.62998112073804,203094.6055313881,204287.476895573,0.14810024293420399,0.10095316321134803,78.75255724734843,12264.06795410249,0.006157492733766978,2.803216062680055e-06,4.6162792246477187e-07,0.1413935626220419,53952.0,37766.399999999994,37766.399999999994,0.6999999999999998,0.6999999999999998,0.0,39500.46026026936,25350.393231851587,468.57010984898415,1.3658575025331132,1.7073218781663915,1,ok
M20,10.9,20.0,2.5,18.376,245.0,46.1696681922761,77.68298719201506,206981.1189141834,200116.7152663491,0.1318724350957569,0.0964191733574143,542.8852078885228,16101.160186524794,0.010788091907799049,1.8509111300445781e-06,3.3456074604244334e-07,0.15308398598176323,230300.0,161210.0,161210.0,0.7,0.7,0.0,163674.82978028408,142637.3938055233,668.0605297154452,1.4070581304966259,1.5567451656558415,1,ok
M8,8.8,8.0,1.25,7.188,36.6,17.199967614512236,37.372715185392515,204007.00889857727,204374.38538718346,0.1336862633742385,0.10536202142634048,23.01755111644061,2048.0833947659908,0.0052079992885302375,5.973987850811967e-06,1.21655900507527e-06,0.16918866248388553,23424.0,16396.8,16396.8,0.7,0.7,0.0,16743.312490215914,13970.944921671651,457.46755437748396,1.3990063205048582,1.7487579006310727,1,ok
M16,8.8,16.0,2.0,14.701,157.0,27.220861691444775,29.012018406414366,205042.91588052845,208854.50572952593,0.1569685071769925,0.12449742195973067,186.60862801905773,17366.241981774325,0.008085034466997246,1.900317418044639e-06,4.1450956394007483e-07,0.179067190406031,100480.0,70336.0,70336.0,0.7,0.7,0.0,73445.7241595876,52586.76564654785,467.8071602521503,1.368085087998732,1.710106359998415,1,ok
M12,10.9,12.0,1.75,10.863,84.3,21.22909089037282,32.8651405893617,203211.94703304826,204553.02704607078,0.08370179849501759,0.15848743780852048,131.76407739908922,1793.5790210771365,0.015233716923143034,2.3873581727892192e-06,7.438158225916168e-07,0.23755173736397506,79242.0,55469.399999999994,55469.399999999994,0.7,0.7,0.0,55895.467812556446,49236.71140254593,663.0541852023304,1.4176820250567606,1.5684992617649265,1,ok
M24,12.9,24.0,3.0,22.051,353.0,37.28030217216438,20.899203104854735,200677.34148338193,203273.6420346409,0.15180777456833142,0.15758165919607922,1201.5057255401864,19646.616766549567,0.01321801422473012,8.075108443990781e-07,2.6428972854504337e-07,0.24658479871779482,388300.0,271810.0,271810.0,0.7,0.7,0.0,276654.5570408653,244675.40887024897,783.7239576228478,1.4035554091474565,1.5566705446908153,1,ok
M20,10.9,20.0,2.5,18.376,245.0,43.87575631399593,54.446286431174244,201597.91366118874,200137.63706200843,0.16847328105736556,0.13227755516621095,686.6605936139865,30746.449878845753,0.0030945185181040927,1.9844151903573685e-06,2.4164134476536467e-07,0.10855130629107847,230300.0,161210.0,161210.0,0.7,0.7,0.0,164547.56729816188,132410.9826813709,671.6227236659669,1.3995952889579584,1.5484884048045497,1,ok
M10,12.9,10.0,1.5,9.026,58.0,22.272915027976744,53.7487464297707,202117.12770405287,202487.80222894181,0.16636946137389358,0.16573375029360207,117.00890094586835,11765.164865118937,0.01188828077755695,3.6970843422684644e-06,9.264051397281375e-07,0.20036925429060992,63800.0,44660.0,44660.0,0.7,0.7,0.0,47017.37731062996,32680.93358268487,810.6444363901718,1.3569451051787127,1.5049754802891178,1,ok
M24,10.9,24.0,3.0,22.051,353.0,39.24680505780873,57.865807232028466,205511.30405591524,205852.22857056255,0.1159881400569199,0.1439005350369311,966.7983831467901,87645.29534637176,0.01717173519746309,1.1800975039405677e-06,4.6502483971171186e-07,0.2826688492232901,331820.0,232273.99999999997,232273.99999999997,0.7,0.7,0.0,257048.59477539425,158965.33093159104,728.1829880322783,1.2908843181575844,1.428212437110519,1,ok
M20,8.8,20.0,2.5,18.376,245.0,45.456737092003934,65.94427413259805,209842.17090021988,205381.3259599262,0.12466923325161965,0.1075073726279099,395.01052093082893,35925.97726402554,0.019402982248217154,2.1996193591273147e-06,2.7952644109203603e-07,0.11275111010707961,156800.0,109760.0,109760.0,0.7,0.7,0.0,113810.69381820058,70058.23767322322,464.53344415592073,1.3777264221802379,1.7221580277252972,1,ok
M10,8.8,10.0,1.5,9.026,58.0,22.08132142871512,71.81214574006857,205507.10679743983,205404.6569769361,0.141122767327678,0.11479787953890129,49.701462950434575,10143.84586521499,0.007703175167213247,1.7151394263155517e-06,1.2577600627225121e-06,0.4230752056570481,37120.0,25984.0,25984.0,0.7,0.7,0.0,30275.609675579228,17540.631753724898,521.9932702686074,1.2260694465862916,1.5325868082328646,1,ok
M16,12.9,16.0,2.0,14.701,157.0,24.86920561349066,53.742856425451805,200976.9202370567,202153.7941412195,0.09407986503505181,0.1392120268800579,307.9811100539447,31878.66796772616,0.005573121510853531,2.628923274934325e-06,1.355607150362947e-06,0.34021754276397825,172700.0,120889.99999999999,120889.99999999999,0.7,0.7,0.0,131735.68208256853,98458.32445357877,839.0807775959779,1.3109584075463783,1.4539720520059831,1,ok
M20,12.9,20.0,2.5,18.376,245.0,49.101246836214344,79.95793167245341,202031.14032433298,209018.62678537896,0.12513600096257044,0.09653210893435757,663.0893616677233,58041.48191534682,0.005550658906294045,8.324142904762442e-07,2.612648106215903e-07,0.23888616904111343,269500.0,188650.0,188650.0,0.7,0.7,0.0,202515.30726022628,139398.60821700134,826.5930908580665,1.330763603235682,1.4759378144977564,1,ok
M10,10.9,10.0,1.5,9.026,58.0,23.104419137592274,24.661252797717374,205128.57221296948,204444.47849727288,0.12615221482947533,0.12386191596577119,79.40920174929245,3680.0500194506,0.0168627948694327,4.958958258323634e-06,4.0631290410196206e-07,0.07573017128145881,54520.0,38164.0,38164.0,0.7,0.7,0.0,38442.69081829733,31619.687841030307,662.8050141085746,1.4182149802596664,1.5690889143298437,1,ok
M10,12.9,10.0,1.5,9.026,58.0,18.804162754562622,72.13662123393416,201960.59693159486,206889.1371410796,0.11446596498105202,0.08048408861281184,57.2466352275351,8075.173800973185,0.012905225191882056,4.901890553902175e-06,2.2021645533336826e-06,0.30998697505747963,63800.0,44660.0,44660.0,0.7,0.7,0.0,47163.198699627086,37271.42508388932,813.1585982694326,1.352749638681832,1.500322326538032,1,ok
M8,8.8,8.0,1.25,7.188,36.6,15.057292091755079,74.83400529210542,206882.15236546058,205148.7322579115,0.05,0.11512874514263176,20.69101406597132,607.6917288942435,0.007287160529999298,5.762581475196651e-06,3.6082586622171166e-06,0.3850517786351812,23424.0,16396.8,16396.8,0.7,0.7,0.0,16630.792781072618,15245.458874621125,454.39324538449773,1.408471641030768,1.7605895512884602,1,ok
M8,8.8,8.0,1.25,7.188,36.6,16.513411664879158,29.486573612607348,204335.4870734755,205241.43701541162,0.11166067024089957,0.12102620777642413,24.374246978107504,3787.602809732738,0.017000621948473175,4.149618406643047e-06,1.0058593288787362e-06,0.19510496999109503,23424.0,16396.8,16396.8,0.7,0.7,0.0,17135.780132531094,10050.593118072358,468.1907140035818,1.3669643178679187,1.7087053973348985,1,ok
M12,10.9,12.0,1.75,10.863,84.3,22.780870937814843,28.722724825267697,201269.26341754044,209789.710632893,0.13611181707427253,0.09453264731522064,97.85608016182232,18151.52599365436,0.013795530623134915,3.2061582894757874e-06,5.420161148394783e-07,0.1446080295024309,79242.0,55469.399999999994,55469.399999999994,0.7,0.7,0.0,58094.25640640451,36262.13043659852,689.1370866714651,1.364024688527799,1.50913369794565,1,ok
M8,8.8,8.0,1.25,7.188,36.6,16.515328617578014,40.040178325376424,203341.89805716177,206483.55132267412,0.15571468330384483,0.1226718882219358,25.465683461311503,726.6758218418897,0.013181936933625776,3.7507508253656065e-06,1.3035674697019107e-06,0.2579116299371283,23424.0,16396.8,16396.8,0.7,0.7,0.0,16584.218145647144,13249.487950480574,453.12071436194384,1.4124271517827383,1.7655339397284227,1,ok
M16,8.8,16.0,2.0,14.701,157.0,28.376826008313856,45.749467522002966,201106.10287876643,200991.6520256561,0.175976464611745,0.1536522665240632,229.37481114384568,20803.555292168232,0.008376683368095845,1.730212630333233e-06,7.274498916441088e-07,0.29599258854255966,100480.0,70336.0,70336.0,0.7,0.7,0.0,76493.69818181713,52281.74841189275,487.22100752749765,1.3135722600464428,1.6419653250580535,1,ok
M12,12.9,12.0,1.75,10.863,84.3,21.435526355002636,34.17619969236221,203722.11827082286,206597.27029320036,0.13267571390658314,0.08512218658396137,101.74232590658593,21435.405092437126,0.013107710124803669,2.586084315203795e-06,8.044608020340749e-07,0.23726591867016186,92730.0,64910.99999999999,64910.99999999999,0.7,0.7,0.0,69996.89108132415,44695.526483389585,830.330855057226,1.324773123027192,1.4692938273574312,1,ok
M10,12.9,10.0,1.5,9.026,58.0,15.539439224737844,39.59220820745263,205943.9398385019,208056.58755173712,0.13900227374046753,0.07798673269045323,51.017734728134215,172.7977892353871,0.007448707049194622,2.8653931120113516e-06,2.921202582561656e-06,0.5048223060237857,63800.0,44660.0,44660.0,0.7,0.7,0.0,44747.23217843762,43287.19964145919,771.5040030765107,1.4257865100032567,1.5813268565490666,1,ok
M12,8.8,12.0,1.75,10.863,84.3,20.466125647343212,31.152681945062923,200115.34176257873,205920.46755245177,0.16309991888388348,0.14016404838351254,84.06039919674613,2166.63572586207,0.01381470156287009,1.4950285414634375e-06,9.132340080149847e-07,0.37920865738362763,53952.0,37766.399999999994,37766.399999999994,0.6999999999999998,0.6999999999999998,0.0,38588.00702464355,30684.99443826764,457.7462280503387,1.398154612274858,1.7476932653435724,1,ok
M8,8.8,8.0,1.25,7.188,36.6,19.221551389389713,25.588311856407103,209880.21851865298,204848.76798815816,0.07508031828574573,0.1414682406504626,30.53823171554645,5839.22449673835,0.01823605587555946,2.601411679765254e-06,5.935939964202902e-07,0.18578808821678547,23424.0,16396.8,16396.8,0.7,0.7,0.0,17481.65835591764,5934.758279293891,477.6409386862743,1.3399186463377397,1.6748983079221746,1,ok
M8,12.9,8.0,1.25,7.188,36.6,13.100878696848648,63.697963025280174,203962.46658299855,204662.49775539953,0.09540145425074842,0.12011326660179786,34.41993909826068,8834.61736709081,0.008559004908529406,2.7989562329193842e-06,4.7387852218885654e-06,0.6286744179671924,40260.0,28182.0,28182.0,0.7,0.7,0.0,33736.09793121867,23765.99389881247,921.7513095961384,1.1933804579913865,1.3235674170449923,0,yield_margin
M12,10.9,12.0,1.75,10.863,84.3,29.640211232371556,77.7007027313544,201120.073318828,202173.9382984562,0.11005776692852524,0.1472255993030234,166.45330294589633,18668.500827767748,0.0158337486062307,3.825358561764816e-06,7.220876854348813e-07,0.1587897132109127,79242.0,55469.399999999994,55469.399999999994,0.7,0.7,0.0,58433.765892518924,36283.366050335986,693.1644827107821,1.3560994878501418,1.5003653908129229,1,ok
M8,8.8,8.0,1.25,7.188,36.6,12.82083473163944,42.794636681402075,205578.1896634768,201080.47397612693,0.105339159731408,0.11664976357484405,19.471357360908506,664.9695323701067,0.007006555384582002,5.732571424093187e-06,4.737712367567482e-06,0.45249130413647015,23424.0,16396.8,16396.8,0.7,0.7,0.0,16697.692930913166,15363.538539374053,456.2211183309608,1.4028285282833373,1.7535356603541716,1,ok
M20,12.9,20.0,2.5,18.376,245.0,40.09641946675676,26.061383848466058,202243.2312660233,202679.2829234729,0.12067800480031497,0.11863218221206635,662.4635153799509,53313.852394606874,0.010696671297535282,1.4869676113843565e-06,1.663177613011634e-07,0.10059833834433833,269500.0,188650.0,188650.0,0.7,0.7,0.0,194013.28496163277,134229.48401836117,791.8909590270725,1.3890801346582795,1.5406161493482735,1,ok
M10,12.9,10.0,1.5,9.026,58.0,24.35865951620425,32.62400680789092,205041.4226311965,209501.0982894624,0.1795207816907241,0.07811663420920313,71.52847040596957,9091.900623907408,0.0033178482611857774,4.762181813885288e-06,4.5973337420150777e-07,0.08803922653710214,63800.0,44660.0,44660.0,0.7,0.7,0.0,45460.443898681006,35733.17327321649,783.8007568738104,1.4034178843962213,1.5565180172394453,1,ok
M24,10.9,24.0,3.0,22.051,353.0,56.8764873238126,25.184081712579783,207481.91864598126,207226.16920045757,0.19517825742971284,0.14792745436615828,1404.3215104001877,9577.466338323718,0.009454495925865565,1.5113498489774949e-06,6.32562161533147e-08,0.04017272481930883,331820.0,232273.99999999997,232273.99999999997,0.7,0.7,0.0,232658.75291967564,217076.93023138438,659.089951613812,1.4262089684395383,1.57793332678417,1,ok
M10,10.9,10.0,1.5,9.026,58.0,19.912073482001976,51.715137149788774,204914.58239142646,201556.0374751741,0.14101045266903653,0.09498368168089069,58.74740452427209,4650.3962460672965,0.017838565934309367,2.1699028091933777e-06,1.1989386270113218e-06,0.3558904892721912,54520.0,38164.0,38164.0,0.7,0.7,0.0,39819.03179532245,29873.472131173326,686.5350309538354,1.3691945168391682,1.5148535079922711,1,ok
M16,8.8,16.0,2.0,14.701,157.0,39.800239953416366,26.766483781072203,204452.35553782425,200022.4289221778,0.12235329540162235,0.08542412315026929,181.32949698355267,21319.03161501022,0.006338363323366727,1.948470229674037e-06,1.3971168843382082e-07,0.06690589896517077,100480.0,70336.0,70336.0,0.7,0.7,0.0,71762.36897526916,47407.98719828165,457.0851527087207,1.400176742139429,1.7502209276742864,1,ok
M16,12.9,16.0,2.0,14.701,157.0,31.545180478903575,23.874796375314705,201742.35793681015,202581.33021094248,0.152914786671853,0.12053649754281354,348.5682251395949,30984.492175942556,0.017376585857722546,2.8475922596000018e-06,2.4382955411052044e-07,0.07887294869601137,172700.0,120889.99999999999,120889.99999999999,0.7,0.7,0.0,123333.83826176506,86728.44188547786,785.5658488010514,1.4002645375672138,1.5530206689381825,1,ok
M24,8.8,24.0,3.0,22.051,353.0,57.335480440178415,78.51180669943938,209664.25004546947,204832.81726903567,0.12456057564939768,0.0825120960278118,578.9397951241315,6151.812136659071,0.006026579056359699,1.9171110079023815e-06,1.9011637325925665e-07,0.0902211004654146,225920.0,158144.0,158144.0,0.7,0.7,0.0,158699.02326082587,149687.25442930008,449.5723038550308,1.4235752392041805,1.7794690490052256,1,ok
M16,8.8,16.0,2.0,14.701,157.0,39.66400321056235,39.080668325606965,208314.53229202496,205080.93342906865,0.14069259540844345,0.13002408142263647,256.0554803374587,3725.056196422889,0.013723854100391595,2.5260916498512723e-06,2.0421073607225402e-07,0.07479418291728139,100480.0,70336.0,70336.0,0.7,0.7,0.0,70614.61253453241,61863.06030926416,449.77460213077967,1.4229349477894908,1.7786686847368636,1,ok
M24,12.9,24.0,3.0,22.051,353.0,49.085432551659,31.102863646957005,202322.87373245275,201248.18316483466,0.10072874622103192,0.14720071859733866,1365.4620822200322,102226.9670488692,0.009732659992691904,1.7029519964529227e-06,1.237158036363803e-07,0.06772758770386822,388300.0,271810.0,271810.0,0.7,0.7,0.0,278733.58587650274,171178.52359750133,789.6135577238038,1.3930865158533223,1.5450595903100484,1,ok
M12,10.9,12.0,1.75,10.863,84.3,27.15205865157006,20.809489089085822,205158.11413864366,208816.13966025418,0.16784038703262544,0.124929264858477,140.76200455045773,8168.986701277408,0.008642795635175666,3.487859813671572e-06,2.269837301563845e-07,0.06110182770240961,79242.0,55469.399999999994,55469.399999999994,0.7,0.7,0.0,55968.54001792472,45472.996213176484,663.9209966539113,1.4158311075225765,1.5664514381100847,1,ok
M10,8.8,10.0,1.5,9.026,58.0,18.9770851592445,25.22313237478187,206871.96071925788,207129.04608117032,0.13815931950460988,0.1752061977101209,61.49634006069894,3106.242611586015,0.012030854750660737,2.5038009480538456e-06,6.733569296500481e-07,0.21193688056089857,37120.0,25984.0,25984.0,0.7,0.7,0.0,26642.32736936488,19749.412765464986,459.3504718856014,1.393271672004265,1.7415895900053313,1,ok
